wid,spelling,phonetic,plurality,thirdpp,present_participle,past_tense,past_participle,explains
1743,extinguish,ɪkˈstɪŋɡwɪʃ,NULL,extinguishes,extinguishing,extinguished,extinguished,['v. 熄灭；消灭，使破灭；<法律>取消（权利，义务），使无效；偿清；压制']
1744,extra,ˈekstrə,extras,NULL,NULL,NULL,NULL,"['adj. 额外的；另外收费的', 'n. 另收费的事物；临时演员；（非击球所得的）附加分；<旧>（报纸的）号外', 'adv. 额外；特别，格外']"
1745,extract,ˈekstrækt,extracts,extracts,extracting,extracted,extracted,"['n. 选段，引文；提取物，汁', 'v. 提取，提炼；取出，拔出；摘录；索取，设法得到；开（方），求（根）']"
1746,extraordinary,ɪkˈstrɔːdnri,NULL,NULL,NULL,NULL,NULL,"['adj. 异乎寻常的，令人惊奇的；非凡的，卓越的；特别的，临时的；特大（或多）的；特派的，特命的', 'n. （公司正常业务活动之外的）非常账目，特支款项']"
1747,extravagant,ɪkˈstrævəɡənt,NULL,NULL,NULL,NULL,NULL,['adj. 奢侈的，挥霍的；不切实际的，放肆的；豪华的，精美的']
1748,extreme,ɪkˈstriːm,extremes,NULL,NULL,NULL,NULL,"['adj. 极大的，极度的；极端的，严重的；过分的，偏激的；尽头的，末端的；极限的，从事极限运动的', 'n. （观点或行为方式的）极端；（事物的）极度；端顶，端词']"
1749,eye,aɪ,eyes,eyes,eyeing或eying,eyed,eyed,"['n. 眼睛；目光，所看之处；眼力，鉴赏力；眼光，视角；观点，态度；（钩）环，扣眼；（马铃薯上的）芽眼，芽；（飓风等风暴的）风眼；拍摄对象，取景器；（电）眼，（红外）眼，眼状探测装置；针眼，针鼻儿', 'v. 注视，仔细打量', '【名】 （Eye）（英）艾，（德）艾厄（人名）']"
1750,eyebrow,ˈaɪbraʊ,eyebrows,NULL,NULL,NULL,NULL,['n. 眉，眉毛']
1751,eyesight,ˈaɪsaɪt,NULL,NULL,NULL,NULL,NULL,['n. 目力，视力']
1752,fable,ˈfeɪb(ə)l,fables,fables,fabling,fabled,fabled,"['n. 寓言；谎言，无稽之谈；神话，传说', 'v. 虚构，撒谎；讲寓言，编寓言；煞有介事地讲述', '【名】 （Fable）（英）费布尔，（法）法布勒（人名）']"
1753,fabric,ˈfæbrɪk,fabrics,NULL,NULL,NULL,NULL,['n. 布料，织物；构造，结构；（汽车的）车身，（飞机的）机身']
1754,fabricate,ˈfæbrɪkeɪt,NULL,fabricates,fabricating,fabricated,fabricated,['v. 制造，生产；捏造，编造；组装，装配']
1755,fabulous,ˈfæbjələs,NULL,NULL,NULL,NULL,NULL,['adj. 极好的，绝妙的；非凡的，巨大的，惊人的；虚构的，传说的']
1756,face,feɪs,faces,faces,facing,faced,faced,"['n. 脸，面部；面部表情，脸色；人；初看，初听；尊严，威信；面貌；（物体的）正面，表面；斜坡，山坡；钟面，表盘；采掘面，工作面；（球拍的）拍面；（尤指足球的）球门', 'v. 面临，遭遇；正视，面对；与……交往，与……交谈；面向，面朝；迎战，对阵；抹盖，覆盖；接受，容忍', '【名】 （Face）（法）法斯，（意）法切（人名）']"
1757,facilitate,fəˈsɪlɪteɪt,NULL,facilitates,facilitating,facilitated,facilitated,['v. 使更容易，使便利；促进，推动']
1758,facility,fəˈsɪləti,facilities,NULL,NULL,NULL,NULL,['n. 设施，设备；卫生间；天赋，才能；（机器等的）特别装置，（服务等的）特色；（用作某种用途的）区，大楼']
1759,fact,fækt,facts,NULL,NULL,NULL,NULL,['n. 事实，真相；现实']
1760,factor,ˈfæktə(r),factors,factors,factoring,factored,factored,"['n. 因素，要素；等级，系数；因数，因子；遗传因子，基因；（血液中的）凝血因子；代理公司，代理商；<苏格兰>地产管理人，管家；测量水平', 'v. 把……作为因素计入，把……包括在内（factor in）；把……作为因素排除，不把……包括在内（factor out）；将……分解为因子；代理经营，（代管）产业；做代理商', '【名】 （Factor）（英）法克特（人名）']"
1761,factory,ˈfæktri; ˈfæktəri,factories,NULL,NULL,NULL,NULL,['n.  工厂，制造厂；（在外国的）代理店']
1762,faculty,ˈfæk(ə)lti,faculties或faculty,NULL,NULL,NULL,NULL,['n. 机能；天赋，才能；（高等院校的）系，院；<美> 全体教员；<旧>（某行业，尤指医学行业的）全体从业人员；（尤指来自教会当权者的）特许证，许可证']
1763,fade,feɪd,fades,fades,fading,faded,faded,"['v. 逐渐消失；（使）褪色，（使）变暗；枯萎，凋谢；变得虚弱；退步；（车辆的刹车因摩擦发热而）暂时失灵；（使）（电影或电视画面）淡入（或淡出）另一画面；变得默默无闻，变得无关紧要；（高尔夫球）偏离直线；<美，非正式>接受（掷骰子者）的打赌', 'n. 淡入，淡出；褪色，变暗；（高尔夫球运动员故意击出的）向右偏离球', 'adj. 平淡的，乏味的', '【名】 （Fade）（法）法德（人名）']"
1764,fail,feɪl,fails,fails,failing,failed,failed,"['v. 失败；未能做到，未能做；辜负，使失望；不及格，未能通过；出故障，失灵；衰弱，衰退；破产，倒闭；歉收；不下雨，下雨少；忘记', 'n. 不及格；<非正式>过失，失败', '【名】 （Fail）（葡、捷）法伊尔，（法）法伊（人名）']"
1765,failure,ˈfeɪljə(r),failures,NULL,NULL,NULL,NULL,['n. 失败；失败的人（或企业、事物）；未做到；缺乏，不足；故障，衰退；公司倒闭；歉收；突然失去']
1766,faint,feɪnt,faints,faints,fainting,fainted,fainted,"['adj. 模糊的，微弱的；微小的，可能性不大的；虚弱的，头晕目眩的；不热情的', 'n. 晕倒，昏厥', 'v. 昏厥；<古>变得微弱，衰落；变得没有气力']"
1767,fair,feə(r),fairs,fairs,fairing,faired,faired,"['adj. 公平的；合理的，公正的；相当好的；（数量、大小）相当大的；浅色的，（肤色）白皙的，（头发）金色的；晴朗的；顺风的；普通的；美丽的；界内的；<旧>（手段，方法）温和的，非暴力的；<旧>（言语，谈话，许诺）花言巧语的', 'adv. 公平地，公正地；非常；正面地，直接地；清楚地', 'n. 集市，展览会；露天游乐场；庙会；义卖会；牲畜市场；美女；职业介绍会', 'v. 变得晴朗；使（车辆，船舶，飞机）具有流线型', '【名】 （Fair）（英、芬）费尔（人名）']"
1768,fairly,ˈfeəli,NULL,NULL,NULL,NULL,NULL,"['adv. 相当地，颇；公平地，公正地；<旧>（用以强调）完全，简直；令人愉快地，让人喜欢地', '【名】 （Fairly）（英）费尔利（人名）']"
1769,fairy,ˈfeəri,fairies,NULL,NULL,NULL,NULL,"['n. 仙子，小精灵；兔子（对男同性恋者的蔑称）；仙蜂鸟', 'adj. 仙女的']"
1770,faith,feɪθ,faiths,NULL,NULL,NULL,NULL,"['n. 信任，信心，信念；宗教；宗教信仰；忠诚', 'int. <爱尔兰>用以表示惊讶或强调千真万确', '【名】 （Faith）（英）费思，费丝，（匈）福伊特，（瑞典）法伊特（人名）']"
1771,faithful,ˈfeɪθf(ə)l,faithful或faithfuls,NULL,NULL,NULL,NULL,"['adj. 忠实的，忠诚的；如实的，忠于原事（物）的；忠贞的；可信任的，可信赖的', 'n. 忠实支持者（the faithful）', '【名】 （Faithful）（英）费思富尔（人名）']"
1772,fake,feɪk,fakes,fakes,faking,faked,faked,"['adj. 伪造的，冒充的；（动作或感情）虚假的，做作的', 'n. 假货，贋品；骗子，冒充者；假动作；（绳索、水龙带等的）一圈（=flake）', 'v. 伪造，冒充；假装，佯装；（尤指体育运动中）做假动作；不懂装懂，不会装会；盘卷（=flake）', '【名】 （Fake）（印）费克（人名）']"
1773,fall,fɔːl,falls,falls,falling,fell,fallen,"['v. 降落，落下；跌倒，倒塌；（水平、数量、价格等）下跌，减少；属于；下垂，低垂；照射（到），（阴影）落在；降临，发生；倒台，失势；被打败，沦陷；阵亡，被击毙；打中，击中；（嗓音或声音）变轻，变小；进入（某状态），开始变成（某事物）', 'n. 落下，跌倒；（数量、水平、价格等的）下降，降低；秋天，秋季；失败，垮台 ；瀑布；（摔跤或柔道项目中的）摔倒，压倒；（雨、雪等的）降落；堕落', '【名】 （Fall）（西）法勒（人名）']"
1774,fame,feɪm,NULL,fames,faming,famed,famed,"['n. 名誉，名气', 'v. 使闻名，使有名望']"
1775,familiar,fəˈmɪliə(r),familiars,NULL,NULL,NULL,NULL,"['adj. 熟悉的；常见的，普通的；非正式的，随和的；过分亲密的，随便的', 'n. （与女巫共居的）妖精；知交，密友；（在教皇或主教家服务的）仆人', '【名】 （Familiar）（西）法米利亚尔（人名）']"
1776,famine,ˈfæmɪn,famines,NULL,NULL,NULL,NULL,['n. 饥荒，饥馑；匮乏，短缺；<古>饥饿']
1777,famous,ˈfeɪməs,NULL,NULL,NULL,NULL,NULL,['adj. 著名的，出名的；<非正式>极好的，了不起的']
1778,fan,fæn,fans,fans,fanning,fanned,fanned,"['n. 风扇，扇子；粉丝，狂热爱好者；扇形；（使风车头迎风的）风叶；（山坡脚下的）地带', 'v. 扇，为……扇风；煽（火）；煽动，激起；（击球手）三击不中出局；（呼吸，微风）吹拂；驱散，扇走；<美>击球不中', '【名】 （Fan）（美、法、俄）法恩（人名）']"
1779,fancy,ˈfænsi,fancies,fancies,fancying,fancied,fancied,"['v. <英，非正式> 喜欢，想要；<英，非正式> 爱恋，爱慕；<英，非正式> 认为……会成功（赢）；<文> 认为，想象；<英，非正式>自负，自命不凡（fancy oneself）；<英> （表示惊奇或震惊）真想不到，竟然；爱恋，爱慕（常用于英式口语中）； <英，非正式>喜欢，想要（常用于英式口语中）；<英，非正式>爱恋，爱慕（常用于英式口语中）；<英，非正式>认为……会成功（赢）', 'n. 喜欢，想要；想象，想象力，想象的事物；<旧> （无根据的）想法，空想；花色小蛋糕；（赛马或其他体育比赛中）最被看好的人（或动物）；<旧> 喜爱的人（或事物）；（16和17世纪音乐用语）幻想曲；（无根据的）想法，空想', 'adj. 时髦的，奢华的；华丽的，花哨的；复杂的，高难度的；（食品）特级的，优质的；娴熟的，巧妙的；（花）杂色的；（动物）供观赏的；（画，雕塑）凭想像创作的，想像出来的', '【名】 （Fancy）范茜（人名）']"
1780,fantastic,fænˈtæstɪk,NULL,NULL,NULL,NULL,NULL,['adj. 极好的，非常棒的；极大的，极高的；不切实际的，异想天开的；奇异的，怪诞的']
1781,fantasy,ˈfæntəsi,fantasies,fantasies,fantasying,fantasied,fantasied,"['n. 幻想，想象；想象产物，幻想作品；虚拟比赛（游戏）；幻想曲，集成曲；期望', 'v. 想象，幻想']"
1782,far,fɑː(r),NULL,NULL,NULL,NULL,NULL,"['adv. 远，遥远地；久远地；非常，很大程度上；发展，进展（到）；过分地', 'adj. 遥远的，久远的；另一边的，较远的；偏远的，极端的', '【名】 （Far）（德、西、塞）法尔（人名）']"
1783,fare,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1784,farewell,ˌfeəˈwel,farewells,farewells,farewelling,farewelled,farewelled,"['n. 告别；离去；分别时的美好祝愿', 'adj. 告别的', 'v. 告别，欢送', 'int. 再见，一路顺风']"
1785,farm,fɑːm,farms,farms,farming,farmed,farmed,"['n. 农场，养殖场；农舍；生产企业', 'v. 耕种，养殖；（收取一定费用）将（税收）包出；承包，外包']"
1786,farmer,ˈfɑːmə(r),farmers,NULL,NULL,NULL,NULL,"['n. 农夫，农民', 'n. （Farmer）（英）法默；（法）法尔梅；（西）法梅尔（人名）']"
1787,farther,ˈfɑːðə(r),NULL,NULL,NULL,NULL,NULL,"['adv. 较远地，更远地；更进一步；此外，而且', 'adj. 较远的，更远的；另外的，更多的；另外的，更多的（far 的比较级形式）']"
1788,fascinate,ˈfæsɪneɪt,NULL,fascinates,fascinating,fascinated,fascinated,['v. <旧>（尤指蛇）以眼神震慑（人，动物），使无法动弹；深深吸引，迷住']
1789,fashion,ˈfæʃ(ə)n,fashions,fashions,fashioning,fashioned,fashioned,"['n. 时髦打扮，流行装扮；时尚，时兴；（做事的）方式；时装领域，时尚界', 'v. （尤指用手工）制作，使成形；塑造']"
1790,fashionable,ˈfæʃnəbl,NULL,NULL,NULL,NULL,NULL,['adj. 流行的，时髦的；有钱人光顾的']
1791,fast,fɑːst,fasts,fasts,fasting,fasted,fasted,"['adj. 快的，迅速的；系牢的，紧缚的；寻欢作乐的；不褪色的；忠实的，可靠的', 'adv. 快速地；坚定地，牢固地', 'v. 斋戒，禁食', 'n. 斋戒，斋戒期', '【名】 （Fast）（英、德、俄、芬、捷、瑞典）法斯特（人名）']"
1792,fasten,ˈfɑːs(ə)n,NULL,fastens,fastening,fastened,fastened,"['v. 关紧，锁好（门窗）；（使）牢固，（使）固定；握住，咬住；盯住……不放，集中注意力于……；缠着，纠缠；系牢，扣紧', '【名】 （Fasten）（英）法森（人名）']"
1793,fat,fæt,fats,fats,fatting,fatted,fatted,"['adj. 肥的，肥胖的；厚的，宽的；巨额的；<非正式>极少的，没有的；好打的，易中的', 'n. 脂肪，肥肉；食用油，烹调用油；多余的部分', 'v. <旧>（使）长肥', '【名】 （Fat）（法、西、塞）法特，（东南亚国家华语）发（人名）']"
1794,fatal,ˈfeɪt(ə)l,NULL,NULL,NULL,NULL,NULL,"['adj. 致命的；导致失败的，灾难性的', '【名】 （Fatal）（葡、芬）法塔尔（人名）']"
1795,fate,feɪt,fates,fates,fating,fated,fated,"['n. 命运', 'v. 注定', '【名】  （Fate）（英）费特（人名）']"
1796,father,ˈfɑːðə(r),fathers,fathers,fathering,fathered,fathered,"['n. 父亲，爸爸；祖先；发明者，创始人；（Father）天父，上帝；（Father）（尤指天主教和东正教的）神父；父亲般的人；（城邦、市镇等的）元老；（动物的）父代；保护人，庇护人；（Father）（用于拟人化的专有名称）……老人；早期基督教神学家', 'v. 是……的父亲；创立（新思想），创造，发明（新方法）；如父亲般对待（或抚养、照料）；确定（某人）的生父为……，确定（某事物）的责任应由……来承担']"
1797,fatigue,fəˈtiːɡ,fatigues,fatigues,fatiguing,fatigued,fatigued,"['n. 疲乏，厌倦；（金属部件的）疲劳；（士兵穿的）工作服；士兵杂役（尤指作为惩罚,如做打扫、帮厨）', 'v. 使疲劳，使劳累', 'adj. 疲劳的']"
1798,fault,fɔːlt,faults,faults,faulting,faulted,faulted,"['n. 错误；责任，过错；缺点，故障；断层；发球失误', 'v. 挑剔，指责；发球失误；产生断层；<古>犯错误，做错事']"
1799,faulty,ˈfɔːlti,NULL,NULL,NULL,NULL,NULL,['adj. 有故障的，有缺陷的；（思维方法）有错误的']
1800,favor,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1801,favorable,ˈfeɪvərəb(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的']
1802,favorite,ˈfeɪvərɪt,favorites,NULL,NULL,NULL,NULL,"['adj. （同类中）最受喜爱的（等于favourite）', 'n. 受喜爱的人（或事物）；（比赛或竞赛中）最有希望的获胜者；收藏夹（等于favourite）', 'v. 把……添加到收藏夹（等于favourite）', 'n. （Favorite）（美）费沃里特（人名）']"
1803,fax,fæks,NULL,NULL,NULL,NULL,NULL,"['n. 传真机；传真信件；传真', 'v. 传真（文档、信件等）；用传真与（某人）联系', '【名】 （Fax）（美、瑞、巴、德）法克斯（人名）']"
1804,fear,fɪə(r),fears,fears,fearing,feared,feared,"['v. 害怕，畏惧；担心，忧虑；敬畏', 'n. 恐惧；担心；（坏事发生的）可能性；敬畏']"
1805,fearful,ˈfɪəf(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 害怕的，担心的；可怕的；极坏的，极端的']
1806,feasible,ˈfiːzəb(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 可行的，办得到的；很可能会发生的']
1807,feast,fiːst,feasts,feasts,feasting,feasted,feasted,"['n. 宴会，筵席；盛会，特别的享受；宗教节日', 'v. 饱餐，尽情享用；宴请，设宴招待（某人）']"
1808,feat,fiːt,feats,NULL,NULL,NULL,NULL,"['n. 功绩，壮举；武艺，技艺', 'adj. 合适的，灵巧的']"
1809,feather,ˈfeðə(r),feathers,feathers,feathering,feathered,feathered,"['n. 羽毛', 'v. 用羽毛装饰；长羽毛；使（螺旋桨）顺流交距；使（旋翼）周期变距；（划船）平掠回（桨）；如羽毛般浮动（或移动、飘动）；小心翼翼地把……混合起来（或把……弄平）；（油墨、口红等抹上后）化开，变模糊', '【名】 （Feather）（英）费瑟（人名）']"
1810,feature,ˈfiːtʃə(r),features,features,featuring,featured,featured,"['n. 特点，特征；五官，面貌（特征）；地貌；特写，专题节目；正片； 特点，特征', 'v. 以……为特色，以……为主要组成；起重要作用，占重要地位；放映，上演；担任主演']"
1811,federal,ˈfedərəl,federals,NULL,NULL,NULL,NULL,"['adj. 联邦（制）的；（与）联邦政府（有关的）的；中央集权式的；（美国内战时期）北部联邦政府的', 'n. 联邦探员，联邦政府官员；（美国南北战争时期）北部联邦政府支持者', '【名】  （Federal）（英）费德勒尔（人名）']"
1812,federation,ˌfedəˈreɪʃ(ə)n,federations,NULL,NULL,NULL,NULL,['n. 联邦政府，联邦；联合会；结成联邦（或联盟）']
1813,fee,fiː,fees,fees,feeing,fee'd或feed,feed,"['n. 费用，酬金；会费，入场费；封地，采邑', 'v. 付给（某人）费用', '【名】 （Fee）（英、柬）菲（人名）']"
1814,feeble,ˈfiːbl,NULL,NULL,NULL,NULL,NULL,['adj. 衰弱的，虚弱的；（光线或声音）微弱的；软弱的；无效的，不佳的']
1815,feed,fiːd,feeds,feeds,feeding,fed,fed,"['v. 饲养，喂养，为……提供食物；以……为食物，吃食；提供（意见或信息等），灌输；施肥；添加燃料；把……放进机器，将……塞进机器；加深，强化；使（缓慢平稳地）移动，使穿过（有限的空间）；<非正式>维持，满足（习惯）；传球；流入，进入', 'n. 哺乳，喂养；动物的饲料，植物的肥料；（机器的）进料装置；（机器、设备的）原料供给；（卫星或网络）转播，（信号）传输；（计算机）订阅源；（给舞台演员的）提词，提白；<非正式>丰盛的一餐']"
1816,feedback,ˈfiːdbæk,NULL,NULL,NULL,NULL,NULL,['n. 反馈意见；（信号返回电子音响系统所致的）噪声；（返回机器、系统或者程序的）返回信息，返回电流']
1817,feel,fiːl,feels,feels,feeling,felt,felt,"['v. 感受到，体会到；觉得，相信；使人感觉……；察觉到，意识到；触摸；受到；摸索；有知觉，能感知……', 'n. 感觉，气氛；触觉，手感；触摸；感知，理解；熟练使用；特性，特质']"
1818,feeling,ˈfiːlɪŋ,feelings,NULL,NULL,NULL,NULL,"['n. 感觉，感触；预感；看法，态度；情感，情绪；理解力，领悟力；好感，同情；知觉；氛围；品质，特点', 'adj. 多愁善感的，多情的', 'v. 感受到，体会到；觉得，相信；使人感觉……(feel 的现在分词形式)']"
1819,fell,fel,fells,fells,felling,felled,felled,"['n. （尤指英格兰北部的）山（冈），丘陵，高沼地；采伐的木材数量；<古>兽皮，生皮', 'v. 砍伐；击倒；把（接缝的边）缝平； 掉下，跌落（fall 的过去式形式）', 'adj. 凶恶的，残暴的；和丘陵、小山有关的', '【名】 （Fell）（美、英、德、法）费尔（人名）']"
1820,fellow,ˈfeləʊ,fellows,NULL,NULL,NULL,NULL,"['n. 小伙子，家伙；同伴，同事，同学；研究员；男朋友；（研究期间领取津贴的）研究生；<英>（大学的）董事；（学术或专业团体）会员；对等者，对手', 'adj. 同类的，同伴的', '【名】 （Fellow）（美、英、印）费洛（人名）']"
1821,fellowship,ˈfeləʊʃɪp,fellowships,fellowships,fellowshipping或fellowshiping,fellowshipped或fellowshiped,fellowshipped或fellowshiped,['n. 交情，友谊；（有相似爱好的）团体，协会，联谊会；（高等院校的）研究员； <美>（研究生）奖学金；董事职位，会员资格；（决定奖学金人选的）奖学金评选组']
1822,female,ˈfiːmeɪl,females,NULL,NULL,NULL,NULL,"['adj. 女性的，妇女的；女性特有的；由女性组成的；内孔的；雌性的，母的；雌蕊的', 'n. 雌性动物，雌性植物；女子']"
1823,feminine,ˈfemənɪn,feminines,NULL,NULL,NULL,NULL,"['adj. 女性特有的，女子气的；女性的，妇女的；（语法）阴性的', 'n. （语法）阴性词，阴性形式']"
1824,fence,fens,fences,fences,fencing,fenced,fenced,"['n. 篱笆，栅栏，围栏；（赛马中的）障碍物；<非正式>买卖赃物者，销赃犯；剑术；（刨子、锯子或其他工具的）防护装置，导向装置', 'v. （用栅栏、篱笆或围栏）围住，隔开；击剑；巧妙回答，搪塞；出售（赃物）；防护，保卫']"
1825,ferry,ˈferi,ferries,ferries,ferrying,ferried,ferried,"['n. 渡船，摆渡；渡口', 'v. 摆渡，渡运；空运', '【名】 （Ferry） （英、法、德、印尼）费里（人名）']"
1826,fertile,ˈfɜːtaɪl,NULL,NULL,NULL,NULL,NULL,['adj. 肥沃的，富饶的；可繁殖的，能结果的；能产生好结果的，促进的；点子多的，想像力丰富的；（核材料）能产生裂变物质的，增殖性的']
1827,fertilizer,ˈfɜːtəlaɪzə(r),fertilizers,NULL,NULL,NULL,NULL,['n. 肥料，化肥；受精媒介物']
1828,festival,ˈfestɪv(ə)l,festivals,NULL,NULL,NULL,NULL,"['n. 活动节期，纪念活动；节日，节庆', 'adj. 节日的，喜庆的']"
1829,fetch,fetʃ,fetches,fetches,fetching,fetched,fetched,['v. （去）拿来，（去）找来；售得，卖得；推导出，演绎出；吸引，迷住；抵达，到达；<非正式>给（某人）以（重重的一击或一巴掌）']
1830,feudal,ˈfjuːd(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 封建（制度）的；过时（或老式）得可笑的；争吵的']
1831,fever,ˈfiːvə(r),fevers,fevers,fevering,fevered,fevered,"['n. 发烧，发热；狂热，高度兴奋；热病', 'v. 使发烧，使激动不已']"
1832,few,fjuː,NULL,NULL,NULL,NULL,NULL,"['det. 一些，几个；很少，不多，几乎没有', 'pron. 一些人（或物）；很少的人（或物）', 'adj. 少数的；很少（的），几乎没有（的）', 'n. （尤指享有某种机遇等的）少数派，少数（the few） ；参加过不列颠之战的少数几个英国皇家空军飞行员（the Few）', '【名】 （Few）（英）菲尤（人名）']"
1833,fiber,ˈfaɪbə(r),fibers,NULL,NULL,NULL,NULL,"['n. 纤维（等于 fibre）', 'n. (Fiber) （匈）菲贝尔（人名）']"
1834,fiction,ˈfɪkʃn,fictions,NULL,NULL,NULL,NULL,['n. 小说；虚构的事，谎言；杜撰，编造']
1835,field,fiːld,fields,fields,fielding,fielded,fielded,"['n. 田地，田野；专业，领域；（尤指为比赛或体育运动划出的）场地；战场；现场，实地；信息栏，字段；视野；场；全体参赛运动员（或动物）；矿田（尤指油田或气田）；语义场；外场员，防守队；盾面，底；单色旗底；<古>战斗，战役', 'v. 使参加竞选，使参加比赛；处理，回应（电话或请求等）；接（球），守（球）；部署（军队）；担任外场队员，担任防守队员；（政党）推出（候选人）参选', 'adj. 实地的，野外的；（军事装备）轻便机动的，战役用的；（比赛）田赛的', '【名】 （Field）（英、法、德、葡）菲尔德（人名）']"
1836,fierce,fɪəs,NULL,NULL,NULL,NULL,NULL,"['adj. （动作或情感）强烈的，激烈的；（人或动物）凶猛的，狂怒的；（天气等）狂暴的，恶劣的', 'adv. <美，非正式>很，非常', '【名】 （Fierce）（英）菲尔斯（人名）']"
1837,fight,faɪt,fights,fights,fighting,fought,fought,"['v. 与……作斗争，坚决反对；努力争取，为……而斗争；打仗，作战；打架；争吵，争论；参加拳击赛；打官司，进行（诉讼，辩护等）；努力抑制（情感）', 'n. 斗争；打斗，打架；争吵，争论；拳击比赛；战斗；斗志']"
1838,figure,ˈfɪɡə(r),figures,figures,figuring,figured,figured,"['n. 数字，数目，数值；数字符号，位数；身材，体型；（远处的）人影；（重要的）人物；（绘画或模型中）人像；（书中的）图、表；（数学）图形；价格，金额', 'v. （以重要地位）出现；<美，非正式>认为，估计；理解，弄懂；计算；用图画（或图形等）描绘，想象']"
1839,file,faɪl,files,files,filing,filed,filed,"['n. 文件夹（或箱、柜等）；（计算机的）文档；档案；纵列；锉刀；（与某政策领域相关的）议题，职责', 'v. （把文件等）归档，存档；提起（诉讼），提出（申请）；发送（消息或报道）给报社；列队行进；锉平', '【名】 （File）（匈、塞）菲莱（人名）']"
1840,fill,fɪl,fills,fills,filling,filled,filled,"['v. （使）充满，占满；堵塞，填补；满足；（声音、气味或光）遍及，弥漫；担任，充任；（感情）充盈于；打发，占据（时间）；（帆）迎风（或受风）鼓起（或张开）；使吃饱，填饱……的肚子；(按订单)供货，(按药方)配药；（用吊牌的方法）凑成，做成（一手好牌）', 'n. 总量，（某人的）需求总量；填充物，填方，填土；（容器的）最大容量；（某种乐器上的）插入短句，插入乐句', '【名】 （Fill）（德、俄、匈）菲尔（人名）']"
1841,film,fɪlm,films,films,filming,filmed,filmed,"['n. 电影，影片；电影艺术，电影业；胶卷，底片；薄膜，薄层；纪实镜头，记录画面；<古>细丝', 'v. 录制，拍摄电影；（似）被覆盖上一薄层东西，变得朦胧；在……上覆以薄膜']"
1842,filter,ˈfɪltə(r),filters,filters,filtering,filtered,filtered,"['n. 过滤器；滤光器，滤声器，滤波器；过滤程序，过滤软件；（指示车辆转弯的）分流指示灯', 'v. 过滤；渗入，透过；（消息、信息等）慢慢传开，走漏；缓慢进入，陆续步入；（车辆）看到分流指示灯的信号后转弯；（用程序）筛选', '【名】 （Filter）（德）菲尔特（人名）']"
1843,final,ˈfaɪn(ə)l,finals,NULL,NULL,NULL,NULL,"['adj. 最终的，结束的；(出现次序)最后的，末尾的；决定性的，不可变更的；无比的，极度的', 'n. 决赛；期末考试，课程终结考试；主调音；当日报纸的末版；（飞机进入着陆跑道的）最终边，第五边']"
1844,finally,ˈfaɪnəli,NULL,NULL,NULL,NULL,NULL,['adv. 终于；总之，最后；决定性地，不可变更地']
1845,finance,ˈfaɪnæns,finances,finances,financing,financed,financed,"['n. 财政，金融；资金，财源；财务事务，经济情况', 'v. 提供资金；贷款购买，赊购', '【名】 （Finance）（法）菲南斯（人名）']"
1846,financial,faɪˈnænʃ(ə)l,NULL,NULL,NULL,NULL,NULL,"['adj. 财政的，金融的；<澳新，非正式>有钱的；<澳新>（俱乐部或社团成员）已缴费的', 'n. （组织或个人的）财务状况；金融公司股票']"
1847,find,faɪnd,finds,finds,finding,found,found,"['v. 找到，找回；发现，发觉；（经过研究）找出，查明；感到，认为；生长在某处，存在于某地；设法获得；开始有……；裁决，判决；自然到达，达到；鼓起（勇气），振作（精神）；（猎人，猎犬）发现猎物（尤指发现狐狸）', 'n. 被发现的人，发现物（尤指有价值的人或物）；发现狐狸', '【名】 （Find）（丹）芬（人名）']"
1848,finding,ˈfaɪndɪŋ,findings,NULL,NULL,NULL,NULL,"['n.  结果，发现；判决，裁决；<美>（制作服装、鞋子或首饰用的）一应小物件（或小工具）', 'v. 找到，感到（find 的现在分词形式）']"
1849,fine,faɪn,fines,fines,fining,fined,fined,"['adj. 令人满意的，可以接受的；值得崇敬的；健康的，身体好的；优质的，出色的，美好的；晴朗的；纤细的，细小的；精美的，精巧的；细微的，细密的；<非正式>糟糕的；矫饰的，华而不实的', 'adv. 很，很好；精致地，精美地；细小地', 'v. 罚款，处以罚金；使变纯，使澄清；使变细，使变瘦；<非正式>放晴', 'n. 罚金，罚款；微小颗粒', '【名】 （Fine）（英）法恩，（意）菲内（人名）']"
1850,finger,ˈfɪŋɡə(r),fingers,fingers,fingering,fingered,fingered,"['n. 手指；（手套的）手指部分；（酒在杯中的深度）一指宽；指状物；竖中指；指针', 'v. 用手指触摸；<美>告发，告密；拨弄（乐器）；用某种指法演奏（乐曲）；给（乐谱）标明指法符号', '【名】 （Finger）（英、德、捷）芬格，（俄）芬格尔（人名）']"
